Country_Name,Country_Code,Year,Month,Product_Code,Product_Name,Product_Category,Region,Export_Value_USD,Export_Units
Germany,DEU,2019,10,P006,Pharmaceutical Products,Healthcare,Europe,-380789,282.0
India,IND,2022,3,P007,,Automobile,Asia,1947842,734.0
Canada,CAN,2020,10,P002,Electronic Components,Electronics,North America,3933854,683.0
Australia,AUS,2023,12,P001,Crude Oil,Fuel,Oceania,925352,1532.0
,FRA,2022,10,P001,Crude Oil,Fuel,europe,503630,329.0
Canada,CAN,2022,5,P010,Computer Hardware,Electronics,North America,4667794,842.0
Canada,CAN,2020,8,P008,Steel Materials,Metals,North America,4000107,1851.0
Brazil,BRA,2021,12,P003,Textile Materials,Textiles,South America,-324367,934.0
Japan,JPN,2021,4,P003,Textile Materials,Textiles,Asia,2904033,912.0
Japan,JPN,2023,4,P003,Textile Materials,Textiles,Asia,1563657,770.0
Canada,CAN,2022,6,P009,Processed Foods,Food,North America,4902263,1296.0
France,FRA,2019,4,P007,,Automobile,Europe,1321822,687.0
Germany,DEU,2023,11,P007,Automobiles,Automobile,Europe,945699,1484.0
,DEU,2022,6,P003,Textile Materials,Textiles,Europe,4620054,362.0
India,IND,2019,6,P006,Pharmaceutical Products,Healthcare,Asia,2492185,1088.0
Canada,CAN,2021,12,P008,Steel Materials,Metals,North America,969835,643.0
Australia,AUS,2022,3,P010,Computer Hardware,Electronics,Oceania,4211579,1181.0
China,CHN,2019,1,P008,Steel Materials,Metals,Asia,637484,1852.0
United Kingdom,GBR,2023,10,P008,Steel Materials,Metals,Europe,1025331,557.0
United Kingdom,GBR,2020,3,P002,Electronic Components,Electronics,Europe,4734752,664.0
UNITED KINGDOM,GBR,2019,6,P005,Agricultural Goods,Agriculture,Europe,4556758,1687.0
Germany,DEU,2021,9,P009,Processed Foods,Food,europe,-303335,1052.0
Japan,JPN,2019,5,P006,,Healthcare,asia,3342716,1637.0
France,FRA,2021,7,P001,Crude Oil,Fuel,europe,1174721,1902.0
Australia,AUS,2022,12,P007,Automobiles,Automobile,Oceania,2369983,321.0
United States,USA,2023,2,P006,Pharmaceutical Products,Healthcare,North America,-307000,1248.0
Germany,DEU,2019,1,P002,Electronic Components,Electronics,Europe,-387197,1558.0
Canada,CAN,2019,10,P006,Pharmaceutical Products,Healthcare,North America,523228,1480.0
India,IND,2020,4,P007,Automobiles,Automobile,Asia,-80582,1192.0
Canada,CAN,2020,8,P010,Computer Hardware,Electronics,North America,1916451,258.0
Australia,AUS,2020,12,P010,Computer Hardware,Electronics,Oceania,540273,275.0
France,FRA,2023,7,P005,,Agriculture,Europe,3750125,1361.0
Brazil,BRA,2020,2,P005,Agricultural Goods,Agriculture,South America,16902,178.0
Canada,CAN,2019,6,P001,Crude Oil,Fuel,North America,4433664,1629.0
United Kingdom,GBR,2021,12,P008,Steel Materials,Metals,Europe,3530296,808.0
China,CHN,2021,7,P001,Crude Oil,Fuel,Asia,3400239,1852.0
Canada,CAN,2020,3,P008,Steel Materials,Metals,North America,2734346,341.0
United Kingdom,GBR,2022,11,P001,Crude Oil,Fuel,europe,949383,285.0
Canada,CAN,2020,5,P007,Automobiles,Automobile,North America,4108102,117.0
Canada,CAN,2021,2,P001,Crude Oil,Fuel,North America,61248,712.0
Canada,CAN,2021,11,P001,Crude Oil,Fuel,North America,830453,743.0
United Kingdom,GBR,2021,10,P003,Textile Materials,Textiles,Europe,3472199,736.0
United Kingdom,GBR,2021,9,P008,Steel Materials,Metals,Europe,2358479,1232.0
Germany,DEU,2023,4,P010,Computer Hardware,Electronics,Europe,1589594,1050.0
UNITED KINGDOM,GBR,2023,8,P002,Electronic Components,Electronics,Europe,3381318,1284.0
United Kingdom,GBR,2022,4,P001,Crude Oil,Fuel,Europe,1373455,1259.0
United Kingdom,GBR,2021,10,P008,Steel Materials,Metals,Europe,3998895,1059.0
Germany,DEU,2023,5,P009,processed foods,Food,Europe,1582274,1669.0
India,IND,2022,2,P001,Crude Oil,Fuel,Asia,2592306,1839.0
Brazil,BRA,2021,4,P008,Steel Materials,Metals,South America,4588047,978.0
Australia,AUS,2021,3,P008,Steel Materials,Metals,Oceania,2144665,1753.0
India,IND,2021,10,P005,Agricultural Goods,Agriculture,Asia,4269172,77.0
United States,USA,2020,12,P009,Processed Foods,Food,North America,1471436,238.0
Australia,AUS,2023,7,P001,Crude Oil,Fuel,Oceania,4883965,1667.0
BRAZIL,BRA,2020,1,P004,Industrial Machinery,Machinery,South America,4908626,1894.0
Germany,DEU,2020,9,P003,textile materials,Textiles,Europe,2179816,711.0
Japan,JPN,2019,1,P009,processed foods,Food,Asia,1178765,225.0
United Kingdom,GBR,2020,7,P009,Processed Foods,Food,Europe,1284914,431.0
China,CHN,2023,5,P004,Industrial Machinery,Machinery,Asia,2305869,450.0
Australia,AUS,2020,3,P007,Automobiles,Automobile,Oceania,445341,135.0
Brazil,BRA,2023,5,P004,Industrial Machinery,Machinery,South America,2527770,1451.0
India,IND,2019,4,P005,Agricultural Goods,Agriculture,Asia,1017659,1812.0
France,FRA,2022,8,P003,Textile Materials,Textiles,Europe,4204581,1272.0
India,IND,2023,1,P001,Crude Oil,Fuel,Asia,-405948,1989.0
India,IND,2020,11,P006,pharmaceutical products,Healthcare,Asia,1100424,916.0
Brazil,BRA,2021,8,P003,Textile Materials,Textiles,South America,1216862,584.0
CANADA,CAN,2023,5,P010,Computer Hardware,Electronics,North America,1765484,96.0
India,IND,2022,8,P008,Steel Materials,Metals,asia,2959665,1431.0
Brazil,BRA,2020,5,P008,Steel Materials,Metals,South America,-295210,1424.0
India,IND,2022,9,P010,Computer Hardware,Electronics,Asia,3598066,624.0
Canada,CAN,2020,6,P009,Processed Foods,Food,North America,2614457,1882.0
United Kingdom,GBR,2020,11,P005,Agricultural Goods,Agriculture,Europe,3648256,1433.0
United Kingdom,GBR,2022,9,P008,Steel Materials,Metals,Europe,878048,360.0
China,CHN,2020,4,P010,Computer Hardware,Electronics,Asia,2824826,217.0
Brazil,BRA,2020,12,P009,Processed Foods,Food,South America,1402388,1450.0
Australia,AUS,2020,10,P007,Automobiles,Automobile,Oceania,2445528,1585.0
Germany,DEU,2023,2,P001,Crude Oil,Fuel,Europe,3654063,1489.0
United States,USA,2019,1,P004,Industrial Machinery,Machinery,North America,-239136,1874.0
United States,USA,2021,11,P007,Automobiles,Automobile,North America,2880615,71.0
France,FRA,2019,11,P010,Computer Hardware,Electronics,europe,3621603,114.0
Australia,AUS,2022,12,P002,Electronic Components,Electronics,Oceania,4425159,1320.0
United States,USA,2021,9,P008,Steel Materials,Metals,North America,272161,454.0
Germany,DEU,2022,1,P010,computer hardware,Electronics,Europe,2208450,684.0
India,IND,2022,2,P009,Processed Foods,Food,Asia,3711690,421.0
Brazil,BRA,2019,12,P010,Computer Hardware,Electronics,South America,3834698,862.0
UNITED STATES,USA,2019,4,P003,Textile Materials,Textiles,North America,3544535,
India,IND,2020,4,P005,Agricultural Goods,Agriculture,Asia,2352717,1822.0
China,CHN,2023,10,P003,textile materials,Textiles,Asia,-301373,947.0
Australia,AUS,2022,8,P002,Electronic Components,Electronics,Oceania,-218673,621.0
United Kingdom,GBR,2022,9,P008,Steel Materials,Metals,Europe,1540377,1481.0
Australia,AUS,2023,5,P006,pharmaceutical products,Healthcare,Oceania,3508745,341.0
,JPN,2021,1,P001,Crude Oil,Fuel,Asia,3779834,703.0
China,CHN,2020,8,P006,Pharmaceutical Products,Healthcare,Asia,1291479,436.0
United States,USA,2020,9,P003,Textile Materials,Textiles,North America,719725,900.0
JAPAN,JPN,2020,5,P006,Pharmaceutical Products,Healthcare,Asia,2909058,172.0
United Kingdom,GBR,2022,10,P007,Automobiles,Automobile,Europe,1385096,1053.0
China,CHN,2023,9,P004,Industrial Machinery,Machinery,asia,1912795,531.0
China,CHN,2021,5,P001,Crude Oil,Fuel,Asia,2798965,625.0
Brazil,BRA,2023,8,P008,Steel Materials,Metals,South America,2738789,1885.0
United States,USA,2021,5,P005,Agricultural Goods,Agriculture,North America,1923862,417.0
Brazil,BRA,2021,9,P004,Industrial Machinery,Machinery,South America,2952241,620.0
Brazil,BRA,2021,12,P004,Industrial Machinery,Machinery,South America,4053134,1182.0
Brazil,BRA,2020,10,P004,Industrial Machinery,Machinery,South America,4813715,1750.0
Brazil,BRA,2022,9,P010,Computer Hardware,Electronics,South America,2363866,349.0
India,IND,2020,5,P002,Electronic Components,Electronics,Asia,3652827,981.0
Canada,CAN,2019,8,P010,Computer Hardware,Electronics,North America,3167266,842.0
United States,USA,2019,9,P005,Agricultural Goods,Agriculture,North America,3989772,1478.0
France,FRA,2019,2,P001,Crude Oil,Fuel,Europe,2332043,1328.0
Australia,AUS,2020,3,P006,Pharmaceutical Products,Healthcare,Oceania,-307448,1183.0
India,IND,2019,10,P003,Textile Materials,Textiles,Asia,4651714,602.0
China,CHN,2021,2,P004,Industrial Machinery,Machinery,Asia,-473422,539.0
United States,USA,2022,8,P007,automobiles,Automobile,North America,761525,1563.0
Canada,CAN,2023,6,P007,Automobiles,Automobile,North America,2201803,92.0
United States,USA,2022,3,P010,Computer Hardware,Electronics,North America,2889050,395.0
France,FRA,2019,11,P008,Steel Materials,Metals,Europe,4225379,1271.0
Canada,CAN,2022,7,P007,Automobiles,Automobile,North America,250452,945.0
Germany,DEU,2023,10,P010,Computer Hardware,Electronics,Europe,3953818,301.0
China,CHN,2023,12,P002,Electronic Components,Electronics,Asia,4137424,152.0
Brazil,BRA,2020,7,P003,Textile Materials,Textiles,South America,2113876,974.0
China,CHN,2023,8,P005,Agricultural Goods,Agriculture,Asia,3050595,261.0
United States,USA,2020,9,P005,Agricultural Goods,Agriculture,North America,541338,1645.0
India,IND,2020,5,P006,Pharmaceutical Products,Healthcare,Asia,3805418,386.0
China,CHN,2023,6,P004,Industrial Machinery,Machinery,Asia,4313924,1653.0
France,FRA,2019,7,P001,Crude Oil,Fuel,Europe,640047,51.0
Japan,JPN,2022,11,P009,Processed Foods,Food,Asia,3859191,774.0
India,IND,2019,10,P004,,Machinery,Asia,2582824,1774.0
Canada,CAN,2019,4,P004,Industrial Machinery,Machinery,North America,3153553,
Japan,JPN,2020,1,P004,Industrial Machinery,Machinery,Asia,1404813,1900.0
China,CHN,2019,4,P007,Automobiles,Automobile,asia,720856,1543.0
JAPAN,JPN,2023,5,P002,Electronic Components,Electronics,Asia,2476063,1731.0
BRAZIL,BRA,2020,1,P009,Processed Foods,Food,South America,349788,348.0
United Kingdom,GBR,2022,6,P010,Computer Hardware,Electronics,Europe,4715807,718.0
Japan,JPN,2019,11,P009,Processed Foods,Food,Asia,4096871,432.0
,BRA,2020,4,P003,textile materials,Textiles,South America,281731,1313.0
Japan,JPN,2020,7,P010,Computer Hardware,Electronics,Asia,772102,924.0
Canada,CAN,2020,8,P002,Electronic Components,Electronics,North America,889186,1944.0
United Kingdom,GBR,2021,10,P008,Steel Materials,Metals,Europe,4185612,1172.0
Australia,AUS,2023,4,P005,Agricultural Goods,Agriculture,Oceania,1397493,157.0
Japan,JPN,2023,5,P001,Crude Oil,Fuel,Asia,1661260,1851.0
China,CHN,2023,9,P002,Electronic Components,Electronics,Asia,2545005,895.0
United States,USA,2019,7,P006,pharmaceutical products,Healthcare,North America,2905143,1719.0
Germany,DEU,2022,7,P008,Steel Materials,Metals,Europe,4436051,488.0
France,FRA,2023,7,P006,Pharmaceutical Products,Healthcare,Europe,195234,1883.0
China,CHN,2019,8,P001,Crude Oil,Fuel,Asia,989590,1274.0
FRANCE,FRA,2019,3,P002,Electronic Components,Electronics,Europe,2098517,1523.0
Germany,DEU,2022,8,P003,Textile Materials,Textiles,Europe,402098,597.0
France,FRA,2020,11,P005,agricultural goods,Agriculture,Europe,3819222,246.0
Canada,CAN,2021,9,P008,Steel Materials,Metals,North America,2070259,651.0
GERMANY,DEU,2022,3,P004,Industrial Machinery,Machinery,Europe,802072,712.0
United States,USA,2021,12,P005,Agricultural Goods,Agriculture,North America,2183938,1744.0
Australia,AUS,2021,12,P010,Computer Hardware,Electronics,Oceania,1259694,1884.0
Brazil,BRA,2020,8,P007,Automobiles,Automobile,South America,3388152,1398.0
Japan,JPN,2023,12,P006,Pharmaceutical Products,Healthcare,Asia,1043184,726.0
China,CHN,2023,10,P004,Industrial Machinery,Machinery,Asia,3655361,1861.0
France,FRA,2021,1,P006,Pharmaceutical Products,Healthcare,Europe,377425,677.0
Australia,AUS,2023,10,P007,Automobiles,Automobile,Oceania,4637718,53.0
AUSTRALIA,AUS,2023,8,P005,Agricultural Goods,Agriculture,Oceania,-126593,632.0
Japan,JPN,2023,10,P008,Steel Materials,Metals,Asia,1437309,1940.0
GERMANY,DEU,2021,7,P010,Computer Hardware,Electronics,Europe,1726050,1321.0
United States,USA,2023,9,P005,Agricultural Goods,Agriculture,North America,2995994,83.0
Australia,AUS,2019,4,P005,agricultural goods,Agriculture,Oceania,2763390,1198.0
Germany,DEU,2019,2,P008,Steel Materials,Metals,Europe,589491,1956.0
China,CHN,2019,5,P006,Pharmaceutical Products,Healthcare,Asia,2096210,449.0
United States,USA,2020,2,P005,Agricultural Goods,Agriculture,North America,3285708,622.0
France,FRA,2019,6,P005,Agricultural Goods,Agriculture,Europe,272004,519.0
France,FRA,2019,3,P002,Electronic Components,Electronics,Europe,723167,1893.0
United Kingdom,GBR,2021,7,P001,Crude Oil,Fuel,Europe,3127247,262.0
United States,USA,2022,9,P004,,Machinery,North America,3340750,843.0
United Kingdom,GBR,2021,11,P001,Crude Oil,Fuel,Europe,2341436,821.0
Australia,AUS,2023,3,P002,Electronic Components,Electronics,Oceania,3471417,
Australia,AUS,2021,1,P007,Automobiles,Automobile,Oceania,394009,162.0
,BRA,2022,2,P006,Pharmaceutical Products,Healthcare,South America,3954034,1516.0
China,CHN,2020,9,P002,Electronic Components,Electronics,Asia,4557545,1095.0
China,CHN,2020,10,P010,Computer Hardware,Electronics,Asia,161348,1361.0
Australia,AUS,2023,5,P010,Computer Hardware,Electronics,Oceania,4133588,1397.0
United States,USA,2021,12,P006,pharmaceutical products,Healthcare,North America,-63344,1637.0
United Kingdom,GBR,2023,2,P007,Automobiles,Automobile,Europe,1716960,1156.0
India,IND,2020,12,P008,Steel Materials,Metals,asia,562513,903.0
Germany,DEU,2023,4,P008,Steel Materials,Metals,Europe,-1955,1223.0
,FRA,2023,5,P007,Automobiles,Automobile,Europe,1759557,266.0
France,FRA,2021,12,P004,Industrial Machinery,Machinery,Europe,575344,622.0
Germany,DEU,2019,12,P004,Industrial Machinery,Machinery,Europe,105651,1450.0
United States,USA,2022,2,P001,Crude Oil,Fuel,North America,2363509,472.0
Japan,JPN,2023,11,P007,Automobiles,Automobile,Asia,1807409,1177.0
GERMANY,DEU,2022,5,P008,Steel Materials,Metals,Europe,3169603,150.0
,CAN,2021,4,P009,Processed Foods,Food,North America,2967887,276.0
Australia,AUS,2023,8,P002,Electronic Components,Electronics,Oceania,2417918,163.0
China,CHN,2020,8,P008,Steel Materials,Metals,Asia,619767,490.0
China,CHN,2021,12,P002,Electronic Components,Electronics,Asia,2610781,1119.0
India,IND,2023,2,P002,Electronic Components,Electronics,Asia,1523548,1890.0
France,FRA,2020,11,P009,Processed Foods,Food,europe,3669445,106.0
United Kingdom,GBR,2022,4,P001,Crude Oil,Fuel,Europe,1071789,272.0
Japan,JPN,2023,10,P010,Computer Hardware,Electronics,Asia,2493789,246.0
Canada,CAN,2023,6,P004,Industrial Machinery,Machinery,north america,3636846,516.0
Japan,JPN,2020,8,P001,Crude Oil,Fuel,Asia,2959125,853.0
Germany,DEU,2021,2,P004,Industrial Machinery,Machinery,Europe,-192844,1676.0
Germany,DEU,2021,4,P002,Electronic Components,Electronics,Europe,4631932,888.0
India,IND,2021,9,P008,Steel Materials,Metals,Asia,901214,812.0
UNITED STATES,USA,2023,10,P002,Electronic Components,Electronics,North America,1423752,1944.0
China,CHN,2019,11,P001,Crude Oil,Fuel,Asia,4295802,93.0
Germany,DEU,2020,5,P004,Industrial Machinery,Machinery,Europe,3365932,175.0
Brazil,BRA,2020,12,P007,Automobiles,Automobile,south america,30730,1810.0
Japan,JPN,2019,3,P002,Electronic Components,Electronics,Asia,1276582,1694.0
Australia,AUS,2023,10,P009,Processed Foods,Food,Oceania,2268654,1865.0
Japan,JPN,2023,8,P003,Textile Materials,Textiles,Asia,1841892,696.0
Brazil,BRA,2023,8,P007,Automobiles,Automobile,South America,263570,862.0
UNITED STATES,USA,2022,7,P009,Processed Foods,Food,North America,4949703,1457.0
India,IND,2023,9,P009,Processed Foods,Food,Asia,122207,1233.0
China,CHN,2022,8,P001,Crude Oil,Fuel,Asia,1222184,457.0
,AUS,2021,8,P002,,Electronics,Oceania,881055,1445.0
India,IND,2019,6,P001,Crude Oil,Fuel,Asia,883482,
Australia,AUS,2019,11,P006,Pharmaceutical Products,Healthcare,Oceania,4574023,1539.0
Brazil,BRA,2021,3,P005,Agricultural Goods,Agriculture,South America,213370,105.0
United States,USA,2020,5,P003,Textile Materials,Textiles,North America,3706177,1533.0
India,IND,2021,4,P001,Crude Oil,Fuel,Asia,2670019,757.0
United States,USA,2022,3,P004,industrial machinery,Machinery,North America,1759968,1348.0
FRANCE,FRA,2019,9,P007,Automobiles,Automobile,Europe,-169691,1330.0
France,FRA,2019,10,P006,Pharmaceutical Products,Healthcare,europe,4837209,1295.0
Brazil,BRA,2019,9,P009,Processed Foods,Food,South America,3940003,129.0
Canada,CAN,2020,9,P008,Steel Materials,Metals,north america,1126183,557.0
Japan,JPN,2021,12,P010,Computer Hardware,Electronics,Asia,933370,1118.0
United Kingdom,GBR,2022,4,P009,Processed Foods,Food,Europe,373194,684.0
Japan,JPN,2021,6,P003,Textile Materials,Textiles,Asia,1937829,1090.0
China,CHN,2020,12,P005,Agricultural Goods,Agriculture,Asia,-304847,1430.0
Australia,AUS,2019,4,P009,Processed Foods,Food,Oceania,414066,1035.0
CHINA,CHN,2023,12,P008,Steel Materials,Metals,Asia,16151,1429.0
Germany,DEU,2021,4,P004,Industrial Machinery,Machinery,Europe,3914190,577.0
United States,USA,2023,8,P002,Electronic Components,Electronics,North America,3914181,705.0
Germany,DEU,2020,3,P008,Steel Materials,Metals,europe,2897340,1368.0
United States,USA,2023,8,P010,Computer Hardware,Electronics,North America,2246774,1363.0
India,IND,2020,4,P001,Crude Oil,Fuel,Asia,-277121,728.0
Australia,AUS,2020,12,P001,Crude Oil,Fuel,Oceania,2664947,733.0
Japan,JPN,2023,11,P001,Crude Oil,Fuel,Asia,1292660,852.0
United States,USA,2023,5,P009,Processed Foods,Food,North America,413151,1154.0
Japan,JPN,2020,12,P004,Industrial Machinery,Machinery,Asia,822699,900.0
Japan,JPN,2019,5,P002,Electronic Components,Electronics,Asia,-193960,1474.0
India,IND,2020,8,P006,Pharmaceutical Products,Healthcare,Asia,2817665,
Japan,JPN,2019,4,P001,Crude Oil,Fuel,Asia,-35377,1699.0
Japan,JPN,2022,2,P003,Textile Materials,Textiles,Asia,2187527,1855.0
Japan,JPN,2023,3,P009,Processed Foods,Food,Asia,3159450,970.0
France,FRA,2023,5,P004,Industrial Machinery,Machinery,Europe,1936058,837.0
Germany,DEU,2021,4,P006,Pharmaceutical Products,Healthcare,Europe,3500417,1862.0
United States,USA,2022,12,P006,Pharmaceutical Products,Healthcare,North America,-348551,214.0
France,FRA,2019,12,P003,Textile Materials,Textiles,Europe,3300944,529.0
France,FRA,2022,11,P010,Computer Hardware,Electronics,Europe,1986481,1750.0
FRANCE,FRA,2020,6,P004,Industrial Machinery,Machinery,Europe,4242414,260.0
Germany,DEU,2020,2,P003,Textile Materials,Textiles,Europe,1051511,594.0
India,IND,2023,12,P007,Automobiles,Automobile,Asia,-307392,1192.0
Canada,CAN,2020,5,P003,Textile Materials,Textiles,North America,4211542,422.0
Germany,DEU,2020,11,P009,Processed Foods,Food,Europe,4207294,1189.0
United States,USA,2023,10,P003,Textile Materials,Textiles,North America,3141899,317.0
China,CHN,2021,2,P007,Automobiles,Automobile,Asia,4118884,833.0
Japan,JPN,2020,4,P002,Electronic Components,Electronics,Asia,3933418,
Australia,AUS,2020,10,P003,textile materials,Textiles,oceania,2106698,1790.0
Germany,DEU,2019,11,P001,Crude Oil,Fuel,Europe,3810893,939.0
Japan,JPN,2020,2,P009,Processed Foods,Food,Asia,181273,523.0
United States,USA,2023,1,P007,Automobiles,Automobile,North America,4634395,1377.0
Japan,JPN,2023,4,P003,Textile Materials,Textiles,Asia,4386049,1994.0
Brazil,BRA,2022,8,P001,Crude Oil,Fuel,south america,3213594,1276.0
Japan,JPN,2023,3,P003,Textile Materials,Textiles,Asia,2390298,445.0
INDIA,IND,2023,12,P003,Textile Materials,Textiles,Asia,4548249,186.0
Germany,DEU,2022,4,P004,Industrial Machinery,Machinery,Europe,248153,610.0
Japan,JPN,2022,9,P002,Electronic Components,Electronics,Asia,163965,1781.0
China,CHN,2022,2,P001,Crude Oil,Fuel,Asia,1336023,1586.0
France,FRA,2022,2,P006,Pharmaceutical Products,Healthcare,Europe,1097083,496.0
China,CHN,2021,1,P010,Computer Hardware,Electronics,asia,681544,1819.0
India,IND,2022,4,P004,Industrial Machinery,Machinery,Asia,1598208,603.0
Canada,CAN,2020,3,P009,Processed Foods,Food,North America,130643,531.0
United States,USA,2021,9,P004,Industrial Machinery,Machinery,North America,3022105,401.0
Japan,JPN,2023,4,P004,Industrial Machinery,Machinery,Asia,464567,1731.0
Canada,CAN,2022,12,P001,Crude Oil,Fuel,North America,4437631,1165.0
Canada,CAN,2022,9,P004,Industrial Machinery,Machinery,north america,729301,92.0
China,CHN,2021,6,P004,industrial machinery,Machinery,Asia,835610,226.0
United States,USA,2022,10,P005,Agricultural Goods,Agriculture,North America,761147,1472.0
France,FRA,2022,10,P007,Automobiles,Automobile,Europe,-169197,1191.0
China,CHN,2019,6,P003,Textile Materials,Textiles,Asia,-215534,564.0
Australia,AUS,2020,5,P005,Agricultural Goods,Agriculture,Oceania,4580121,1022.0
India,IND,2019,6,P008,Steel Materials,Metals,Asia,1001915,531.0
France,FRA,2021,7,P008,Steel Materials,Metals,Europe,154243,234.0
Australia,AUS,2023,10,P003,Textile Materials,Textiles,Oceania,3161330,1085.0
Canada,CAN,2023,6,P001,Crude Oil,Fuel,North America,3898875,51.0
India,IND,2022,7,P006,Pharmaceutical Products,Healthcare,asia,4697071,729.0
United Kingdom,GBR,2021,5,P006,Pharmaceutical Products,Healthcare,Europe,1031391,1963.0
China,CHN,2020,11,P004,Industrial Machinery,Machinery,Asia,3968637,1564.0
France,FRA,2021,7,P002,Electronic Components,Electronics,Europe,879267,680.0
Canada,CAN,2021,7,P003,Textile Materials,Textiles,North America,906596,402.0
United Kingdom,GBR,2020,9,P002,Electronic Components,Electronics,europe,390959,1196.0
,AUS,2019,10,P006,Pharmaceutical Products,Healthcare,Oceania,2188057,1598.0
France,FRA,2023,10,P002,Electronic Components,Electronics,Europe,125032,1043.0
United Kingdom,GBR,2020,5,P010,Computer Hardware,Electronics,Europe,-183829,226.0
United Kingdom,GBR,2019,4,P004,Industrial Machinery,Machinery,Europe,955504,322.0
Japan,JPN,2021,1,P008,Steel Materials,Metals,Asia,-365307,1321.0
United States,USA,2021,3,P001,Crude Oil,Fuel,North America,3330515,1538.0
Canada,CAN,2021,6,P001,Crude Oil,Fuel,North America,588639,531.0
Japan,JPN,2019,6,P007,Automobiles,Automobile,Asia,4395315,1087.0
Canada,CAN,2023,6,P006,Pharmaceutical Products,Healthcare,North America,1845570,1158.0
France,FRA,2020,9,P005,Agricultural Goods,Agriculture,Europe,581265,1697.0
India,IND,2019,3,P001,Crude Oil,Fuel,Asia,2073971,73.0
United States,USA,2021,2,P006,Pharmaceutical Products,Healthcare,north america,1247715,61.0
China,CHN,2021,5,P002,Electronic Components,Electronics,Asia,1885409,1793.0
Germany,DEU,2022,11,P007,automobiles,Automobile,Europe,3199911,1523.0
China,CHN,2021,4,P006,Pharmaceutical Products,Healthcare,Asia,83790,760.0
Germany,DEU,2020,4,P002,Electronic Components,Electronics,Europe,4588355,215.0
Australia,AUS,2022,5,P004,industrial machinery,Machinery,Oceania,3606541,1556.0
Australia,AUS,2022,3,P002,Electronic Components,Electronics,Oceania,1015529,1892.0
Canada,CAN,2022,3,P003,Textile Materials,Textiles,North America,4291730,1729.0
Canada,CAN,2023,4,P007,Automobiles,Automobile,North America,357734,445.0
United States,USA,2020,4,P008,Steel Materials,Metals,North America,3215300,1285.0
United Kingdom,GBR,2020,3,P003,Textile Materials,Textiles,Europe,4337274,780.0
France,FRA,2021,4,P002,Electronic Components,Electronics,Europe,4140044,633.0
France,FRA,2020,6,P009,Processed Foods,Food,Europe,4163597,1974.0
Canada,CAN,2020,7,P004,Industrial Machinery,Machinery,North America,1931377,1679.0
FRANCE,FRA,2020,8,P002,Electronic Components,Electronics,Europe,4563426,1739.0
France,FRA,2023,8,P008,Steel Materials,Metals,Europe,443828,488.0
Australia,AUS,2020,3,P004,Industrial Machinery,Machinery,Oceania,-264462,250.0
Germany,DEU,2019,1,P003,Textile Materials,Textiles,Europe,1725594,1608.0
France,FRA,2021,11,P008,Steel Materials,Metals,Europe,1266521,1469.0
India,IND,2019,5,P004,Industrial Machinery,Machinery,Asia,2034228,533.0
UNITED STATES,USA,2020,4,P006,Pharmaceutical Products,Healthcare,North America,4285836,645.0
France,FRA,2019,2,P006,Pharmaceutical Products,Healthcare,Europe,2039992,457.0
India,IND,2022,8,P010,Computer Hardware,Electronics,Asia,193300,480.0
China,CHN,2020,3,P002,Electronic Components,Electronics,Asia,490520,1825.0
United States,USA,2019,7,P002,Electronic Components,Electronics,north america,2878061,1215.0
UNITED KINGDOM,GBR,2022,4,P009,Processed Foods,Food,Europe,1160536,1837.0
China,CHN,2021,9,P008,steel materials,Metals,Asia,369307,356.0
Australia,AUS,2021,1,P003,Textile Materials,Textiles,Oceania,4335441,1411.0
France,FRA,2021,6,P004,industrial machinery,Machinery,Europe,2691828,277.0
France,FRA,2021,3,P010,Computer Hardware,Electronics,Europe,4394407,1600.0
United Kingdom,GBR,2021,9,P009,Processed Foods,Food,Europe,2576023,843.0
China,CHN,2020,8,P001,Crude Oil,Fuel,Asia,-48564,920.0
France,FRA,2019,8,P010,Computer Hardware,Electronics,europe,216165,933.0
United States,USA,2021,5,P006,Pharmaceutical Products,Healthcare,North America,830420,290.0
France,FRA,2022,8,P006,Pharmaceutical Products,Healthcare,Europe,4234767,1922.0
United Kingdom,GBR,2021,7,P006,Pharmaceutical Products,Healthcare,Europe,946888,1368.0
,IND,2019,9,P002,electronic components,Electronics,Asia,-1730,1547.0
Japan,JPN,2020,2,P009,Processed Foods,Food,Asia,3269217,866.0
Australia,AUS,2021,8,P002,Electronic Components,Electronics,Oceania,400954,232.0
Australia,AUS,2022,8,P001,Crude Oil,Fuel,Oceania,352839,212.0
United Kingdom,GBR,2021,8,P009,processed foods,Food,Europe,2018566,458.0
Australia,AUS,2021,8,P009,Processed Foods,Food,Oceania,3072778,1490.0
Germany,DEU,2022,3,P010,Computer Hardware,Electronics,Europe,3186593,1938.0
UNITED STATES,USA,2020,3,P009,Processed Foods,Food,North America,3484617,356.0
,FRA,2019,2,P001,Crude Oil,Fuel,Europe,-75725,965.0
France,FRA,2023,9,P004,Industrial Machinery,Machinery,Europe,69961,1730.0
China,CHN,2021,10,P001,Crude Oil,Fuel,Asia,4607397,1131.0
Japan,JPN,2023,8,P010,Computer Hardware,Electronics,Asia,4859327,573.0
Australia,AUS,2019,7,P005,agricultural goods,Agriculture,Oceania,2704481,351.0
Germany,DEU,2021,7,P003,,Textiles,Europe,1035243,481.0
Brazil,BRA,2022,11,P003,Textile Materials,Textiles,South America,670769,
United States,USA,2019,3,P007,Automobiles,Automobile,North America,-269906,1341.0
